"Company Name","Key ID","Address Line 1","City","Phone","URL","Revenue (As Reported)","Employees","techMark Membership","Year Founded","Ultimate Parent Company","Ultimate Parent Country","ANZSIC 2006 Description","Address Type","Cash Equivalents (As Reported)","Assets (USD)","Cash Equivalents (USD)","Corporate Family Members","Fiscal Year End","Parent Company","Ownership Type","Profit Margin","Revenue (USD)","Sales 1 Year Growth (As Reported)"
"Galfar Engineering & Contracting WLL","42385891","PO Box 72218","Abu Dhabi","971-26336111","http://www.emirates.net.ae","","9000","","","Galfar Engineering and Contracting Co.","Oman","Other Heavy and Civil Engineering Construction","","","","","4","","Galfar Engineering and Contracting Co.","Private","","",""
"Etihad Airways PJSC","48960720","PO Box 35566","Abu Dhabi","+971 2 511 0000","http://www.etihadairways.com","4084500000","9000","","2003","","","Air and Space Transport","","","","","12","2011-12-31T05:00:00Z","","Private","","4084500000",""
"Gac Marine Equipment Industry & Maintenance - L L C","123278891","Po Box 8101","Abu Dhabi","25014900","","","8000","","","","","Other Machinery and Equipment Repair and Maintenance","","","","","0","","","Private","","",""
"National Petroleum Construction Company","123246169","Po Box 2058","Abu Dhabi","25549000","","","7130","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"United Arab Emirates Money Exchange Centre - L L C - Abu Dhabi","123730653","Po Box 170","Abu Dhabi","26105555","","","7000","","","","","Other Depository Financial Intermediation","","","","","0","","","Private","","",""
"International Engineering Technology L L C","120030328","Po Box 31859","Abu Dhabi","26816770","http://www.g4s.com","","7000","","","","","Computer System Design and Related Services","","","","","0","","","Private","","",""
"Expeditors Intertnational Llc.","122048132","Po Box 51473","Abu Dhabi","26723003","","","7000","","","","","Other Construction Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Group 4 Securicor Security Services UAE L.L.C.","48609243","PO Box 31859","Abu Dhabi","971-02 4491510","http://www.g4s.ae","918599980","6528","","","Al Hamed Enterprises","United Arab Emirates","Investigation and Security Services","","","","","15","2011-12-31T05:00:00Z","Al Hamed Enterprises","Private","","918599980",""
"General Information Authority","122940147","Po Box 3870","Abu Dhabi","26160444","","","6500","","","","","Public Administration","","","","","0","","","State-Owned","","",""
"Fair Green International Landscaping","50835923","PO Box 6391","Abu Dhabi","971-02 6337002","http://www.fairgreen-intl.com/contactus.asp","3330300000","6000","","","Al Hamed Enterprises","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","15","2011-12-31T05:00:00Z","Al Hamed Enterprises","Private","","3330300000",""
"Al Jaber L E G T Engineering & Contracting (Alec) L L C","123332911","Po Box 27639","Abu Dhabi","25567540","","","6000","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"West Coast Cleaning & Environmental Services Company - L L C","122461398","Po Box 5724","Abu Dhabi","6266676","http://www.westcoastme.com","","6000","","","Ittihad International Investment - L L C","","Other Machinery and Equipment Repair and Maintenance","","","","","6","","Ittihad International Investment - L L C","Private","","",""
"Actco General Contracting Company W L L","122044256","Po Box 2361","Abu Dhabi","6812255","","","6000","","","Actco General Contracting Company L.L.C.","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","2","","Actco General Contracting Company L.L.C.","Private","","",""
"M+W Singapore Pte Ltd - Abu Dhabi","122044368","Po Box 61637","Abu Dhabi","26538051","","","6000","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Eastern Bechtel Company Limited","133360996","Po Box 2661","Abu Dhabi","26998400","","","5300","","","Bechtel Group, Inc.","","Engineering Design and Engineering Consulting Services","","","","","2","","Bechtel Group, Inc.","Private","","",""
"Samsung-Saif Bin Darwish Jv","122461991","Po Box 53581","Abu Dhabi","24949600","","800000000","5200","","","","","Road and Bridge Construction","","","","","0","","","Private","","217801500",""
"Al Dar Laing O'Rouke Construction - L L C","123262644","Po Box 110800","Abu Dhabi","25017017","","","5000","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Noor Al Khaleej Trading Company - W L L","123282622","Po Box 45261","Abu Dhabi","26273270","","4931500","5000","","","","","Other Electrical and Electronic Goods Wholesaling","","","","","0","2002-12-31T05:00:00Z","","Private","","4931500",""
"Drake & Scull International L.L.C","121726456","Airport Road Opposite Abu Dhabi Chamber of comm","Abu Dhabi","971-26226005","","","5000","","","Drake & Scull International PJSC","United Arab Emirates","Other Electrical Equipment Manufacturing","","","","","5","","Drake & Scull International PJSC","Private","","",""
"Al Geemi & Partners Contracting Company W L L","123284616","Po Box 2877","Abu Dhabi","26328438","","","5000","","","","","Road and Bridge Construction","","","","","0","","","Private","","",""
"Emirates Holdings Electronics And Communications","122882385","Po Box 34895","Abu Dhabi","26449088","","","5000","","","","","Computer System Design and Related Services","","","","","0","","","Private","","",""
"Samsung C&T Corporation - Abu Dhabi","123249948","Po Box 42654","Abu Dhabi","26671707","","","5000","","","Samsung Group","Korea, Republic of","Non-Residential Building Construction","","","","","266","","Samsung C&T","Private","","",""
"Al Nasser Holdings","42386004","PO Box 46611","Abu Dhabi","971-02 6391100","http://www.anholdings.com","5131000000","5000","","1977","","","Department Stores","","","","","18","2011-12-31T05:00:00Z","","Partnership","","5131000000",""
"Bam International","92507447","P.O. Box 25685","Abu Dhabi","26444100","http://www.interbeton.nl","","5000","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"NMC Hospitals","124754330","Electra Street","Abu Dhabi","971-26332255","","","5000","","","NMC Group","United Arab Emirates","Hospitals (Except Psychiatric Hospitals)","","","","","22","","NMC Group","Private","","",""
"Al Hamed Enterprises","43523276","PO Box 592","Abu Dhabi","971-02 6675555","http://www.alhamed.com","17032100000","4600","","1979","","","Other Residential Building Construction","","","","","15","2011-12-31T05:00:00Z","","Private","","17032100000",""
"Jan De Nul Dredging Limited - Abu Dhabi","123262653","Po Box 73422","Abu Dhabi","26267234","","","4500","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"Square General Contracting Company - L L C","121882170","Po Box 46575","Abu Dhabi","26670650","","","4000","","","Sheikh Mohamed Bin Khalid Al Mnahayyan Pvt Department","","Electrical Services","","","","","3","","Khalidia International Group Of Companies Llc","Private","","",""
"Porcellan Company Llc","122048026","Po Box 74684","Abu Dhabi","26576418","","","4000","","","","","Other Ceramic Product Manufacturing","","","","","0","","","Private","","",""
"National Ready Mix Concrete Co.","43762999","PO Box 568","Abu Dhabi","971-02 6323227","http://www.lootahgroup.com","28131199000","4000","","1973","","","Ready-Mixed Concrete Manufacturing","","","","","0","2011-12-31T05:00:00Z","","Private","","28131199000",""
"Code Contracting Company - L Lc","121848623","Po Box 25224","Abu Dhabi","24464616","","","4000","","","","","Other Construction Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Gibca Trading & Contracting Company - W L L","123229938","Po Box 2570","Abu Dhabi","26260222","","","4000","","","","","Agricultural and Construction Machinery Wholesaling","","","","","0","","","Private","","",""
"Belhasa Six Construct Company Llc","121848029","Po Box 226","Abu Dhabi","6715400","","","4000","","","Oci NV","Netherlands","Other Heavy and Civil Engineering Construction","","","","","79","","Besix","Private","","",""
"International Mechanical & Electrical Company W L L","123229952","Po Box 46527","Abu Dhabi","26444700","","","4000","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"NMC Group","120011440","Street 5 Warehouse 120","Abu Dhabi","971-26734300","http://www.nmc.ae","","4000","","","","","Financial Asset Investing","","","","","22","","","Private","","",""
"Al Noor Hospitals Group PLC","122895558","Mussafah","Abu Dhabi","","http://www.alnoorhospital.com/","449056000","3922","","2012","","","Hospitals (Except Psychiatric Hospitals)","","22027000","328153020","22027000","0","2014-12-31T05:00:00Z","","Public","18.085","449056000","23015200"
"International Management and Construction Corp.","50835924","PO Box 2739","Abu Dhabi","971-02 5553395","http://www.imcc.ae","2056899900","3700","","","ADCECO Group","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","10","2011-12-31T05:00:00Z","ADCECO Group","Private","","2056899900",""
"MAPCO L.L.C.","42385970","PO Box 2035","Abu Dhabi","971-02 6783626","http://www.mapcouae.com","1912200000","3500","","1971","Al Mazroui Group","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","5","2009-12-31T05:00:00Z","Al Mazroui Group","Private","","1912200000",""
"National Drilling Co.","133360913","Po Box 4017","Abu Dhabi","971-02 6776100","http://www.ndc.ae","9448500000","3500","","1972","Abu Dhabi National Oil Company","United Arab Emirates","Other Mining Support Services","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","State-Owned","","9448500000",""
"Abu Dhabi Gas Industries Limited","42385726","","Abu Dhabi","971-26030000","http://www.gasco.ae","4948799800","3500","","1978","Abu Dhabi National Oil Company","United Arab Emirates","Oil and Gas Extraction","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","4948799800",""
"Gulf Piping Co Wll","133363574","Po Box 2739","Abu Dhabi","25553395","","","3500","","","","","Other Structural Metal Product Manufacturing","","","","","0","","","Private","","",""
"Al Nabooda Contracting Company - L L C","123109587","Po Box 52224","Abu Dhabi","25506550","","","3000","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Punj Lloyd Ltd","122786515","P.O. Box 28907","Abu Dhabi","26261604","","","3000","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Spark Development & Trading","121882883","Po Box 26061","Abu Dhabi","26777522","","","3000","","","","","Other Hardware Goods Wholesaling","","","","","0","","","Private","","",""
"Aecom Middle East Limited. - Abu Dhabi","120029806","Po Box 43266","Abu Dhabi","26134000","http://www.aecom.com","","3000","","","Aecom","United States","Petroleum Exploration","","","","","745","","Aecom","Private","","",""
"Armed Forces Officer Club Hotel","122044210","Po Box 29810","Abu Dhabi","24415900","http://www.afoc.mil.ae","","3000","","","","","Accommodation","","","","","0","","","Private","","",""
"Abu Dhabi Aircraft Technologies PJSC","42385905","Abu Dhabi Aircraft Technologies Building","Abu Dhabi","971-2-5757555","http://www.adat.ae","4041000000","3000","","1987","Etihad Airways PJSC","United Arab Emirates","Airport Operations and Other Air Transport Support Services","","","","","12","2011-12-31T05:00:00Z","Etihad Airways PJSC","Private","","4041000000",""
"Middle East Energy & Industrial Services Company - L L C","123217428","Po Box 519","Abu Dhabi","26442600","","","2800","","","","","Other Electrical and Electronic Goods Wholesaling","","","","","0","","","Private","","",""
"Abu Dhabi Aircraft Technologies","123283175","Po Box 46450","Abu Dhabi","25757555","","","2800","","","Etihad Airways PJSC","United Arab Emirates","Other Machinery and Equipment Repair and Maintenance","","","","","12","","Etihad Airways PJSC","Private","","",""
"Freyssinet Middle East - L L C","123249653","Po Box 28752","Abu Dhabi","26422962","","","2700","","","Vinci SA","France","Road and Bridge Construction","","","","","1269","","Vinci SA","Private","","",""
"National Bank of Abu Dhabi","42386005","One National Bank of Abu Dhabi Tower","Abu Dhabi","971-2-6111352","http://www.nbad.com","11185451000","2544","","1968","Government Of Abu Dhabi","","Banking","","","102393420000","","29","2014-12-31T05:00:00Z","","Public","62.1843","3045280300","12972400"
"Emirates Technical Thermal Systems Company - L L C","122981040","Po Box 43155","Abu Dhabi","6678080","","21200001","2500","","","Emirates Business Group L.L.C.","United Arab Emirates","Building Installation Services","","","","","2","2005-12-31T05:00:00Z","Emirates Business Group L.L.C.","Private","","5772049",""
"Abu Dhabi Supplies & Commercial Services Establishment.","122985882","Po Box 768","Abu Dhabi","26767400","","","2500","","","","","Road Freight Transport","","","","","0","","","Private","","",""
"Tekfen Construction And Installation Company","122044354","Po Box 52237","Abu Dhabi","25591301","","","2500","","","","","Road and Bridge Construction","","","","","0","","","Private","","",""
"Al Jaber Signs L.L.C.","124754244","M 20 Plot No 5 12 & 23","Abu Dhabi","971-25553707","http://www.aljaber.com","","2500","","","Al Jaber Group LLC","United Arab Emirates","Other Fabricated Metal Product Manufacturing Not Elsewhere Classified","","","","","34","","Al Jaber Group LLC","Private","","",""
"Abu Dhabi National Oil Company for Distribution","42385737","PO Box 4188","Abu Dhabi","971-02 6771300","http://www.adnoc-dist.ae","34770602000","2500","","1973","Abu Dhabi National Oil Company","United Arab Emirates","Petroleum Product Wholesaling","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","34770602000",""
"Voltas Limited","107976552","Po Box 25513","Abu Dhabi","26504511","http://www.voltas.com","","2450","","","","","Electrical Services","","","","","0","","","Private","","",""
"NMC Opticals","124754433","","Abu Dhabi","971-26332255","http://www.nmc.com","","2400","","","NMC Group","United Arab Emirates","Optometry and Optical Dispensing","","","","","22","","NMC Group","Private","","",""
"Gulf Contractors Company L.L.C.","42385907","PO Box 45363","Abu Dhabi","971-02 6267510","http://www.gcc.ae","6847899900","2400","","1988","United Eastern Group LLC","United Arab Emirates","Road and Bridge Construction","","","","","4","2011-12-31T05:00:00Z","United Eastern Group LLC","Private","","6847899900",""
"Abu Dhabi Marine Operating Company","123730292","Po Box 303","Abu Dhabi","26060000","","","2346","","","Abu Dhabi National Oil Company","United Arab Emirates","Petroleum Exploration","","","","","25","","ADNOC Distribution","Private","","",""
"Arabian Construction Company SAL - Abu Dhabi","42385779","PO Box 2113","Abu Dhabi","971-02 6771225","http://www.accsal.com","1276800000","2300","","1968","Arabian Construction Co SAL","Lebanon","Engineering Design and Engineering Consulting Services","","","","","3","2011-12-31T05:00:00Z","Arabian Construction Co SAL","Private","","1276800000",""
"Kelvin Catering Services (Emirates) Llc","122874181","Po Box 3210","Abu Dhabi","26734780","","","2300","","","","","Cafes, Restaurants and Takeaway Food Services","","","","","0","","","Private","","",""
"Pal Group Of Companies L L C","122940735","Po Box 34036","Abu Dhabi","28155555","","","2300","","","","","Financial Asset Investing","","","","","0","","","Private","","",""
"Worley Parsons Engineering Pty Limited - Abu Dhabi","121850876","Po Box 44169","Abu Dhabi","26766439","","","2200","","","","","Management and Related Consulting Services","","","","","0","","","Private","","",""
"Control and Applications Group","120010491","Po Box 3687","Abu Dhabi","971-2-6767-965","http://www.cagroup.ae","","2173","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Abu Dhabi Media Company PJSC","104146714","P.O.Box 63","Abu Dhabi","971-2-4144000","http://www.admedia.ae","5260500000","2098","","2007","","","Free-to-Air Television Broadcasting","","","","","3","2011-12-31T05:00:00Z","","Private","","5260500000",""
"Abu Dhabi Media Company Pjsc","133363581","Po Box 63","Abu Dhabi","4144001","","","2000","","","Government Of Abu Dhabi","","Radio Broadcasting","","","","","29","","Government Of Abu Dhabi","Private","","",""
"Western Bainoona Group For General Contracting - Llc","122190613","Po Box 44252","Abu Dhabi","25513222","","","2000","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"S N C Lavalin International","122873344","Po Box 54130","Abu Dhabi","26445561","","","2000","","","SNC-Lavalin Group Inc","Canada","Engineering Design and Engineering Consulting Services","","","","","281","","SNC-Lavalin Inc. - Calgary","Private","","",""
"Abu Dhabi Judicial Department","123278882","P.O. Box 84","Abu Dhabi","26512222","http://www.adjd.gov.ae","","2000","","","","","Public Administration","","","","","0","","","Private","","",""
"Emirates Telecommunication Corp Ltd","51373208","PO Box 3838","Abu Dhabi","971-2-6283333","http://www.etisalat.ae","48766875000","2000","","1976","","","Wired Telecommunications Network Operation","","18542859000","35279582000","5048320386.148","16","2014-12-31T05:00:00Z","","Public","18.4759","13276961000","26456400"
"Alsa Engineering & Construction Company Llc","122190616","Po Box 54294","Abu Dhabi","26581551","","","2000","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"Automatic System Corporation","92460731","Po Box 5297","Abu Dhabi","25511111","http://www.ascorpuae.com","","2000","","","","","Iron and Steel Casting","","","","","0","","","Private","","",""
"Emirates Holdings Co.","42385864","PO Box 984","Abu Dhabi","971-02 6447373","http://www.emiratesholdings.com","1110100000","2000","","1979","","","Engineering Design and Engineering Consulting Services","","","","","8","2011-12-31T05:00:00Z","","Private","","1110100000",""
"Ghantoot Transport & General Contracting L.L.C.","122459681","Po Box 27557","Abu Dhabi","26413388","","","2000","","","","","Road and Bridge Construction","","","","","0","","","Private","","",""
"Emirates Aluminum Company Limited P J S","122895537","Po Box 111023","Abu Dhabi","25092222","","","2000","","","","","Aluminium Smelting","","","","","0","","","Private","","",""
"Abu Dhabi - Flight Catering Company - L L C","122920946","Po Box 3167","Abu Dhabi","25757571","","","2000","","","","","Cafes, Restaurants and Takeaway Food Services","","","","","0","","","Private","","",""
"Agthia Group PJSC","51487650","PO Box 37725","Abu Dhabi","971-2-5960600","http://www.agthia.com","1655067000","2000","","2005","Higher Corporation for Specialized Econ.","United Arab Emirates","Grain Mill Product Manufacturing","","","601480470","","9","2014-12-31T05:00:00Z","Senaat Co","Public","11.6808","450598080","9448200.2"
"Bin Jabr Fire Fighting & Safety Equipment Co. - Llc","122895544","Po Box 46711","Abu Dhabi","26418284","","","2000","","","","","Electrical Services","","","","","0","","","Private","","",""
"Thales Geosolutions Overseas","122873529","Po Box 8625","Abu Dhabi","25554817","","347850010","2000","","","Fugro Consultants International Nv","","Agricultural and Construction Machinery Wholesaling","","","","","3","2002-12-31T05:00:00Z","Fugro Tgs Group Ltd.","Private","","347850010",""
"Al Jaber Trading L L C","123253308","Po Box 2175","Abu Dhabi","5559559","","","2000","","","A J S International","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","2","","A J S International","Private","","",""
"Gulf Dunes Landscaping & Agricultural Services L.L.C.","136967197","","Abu Dhabi","971-2-6677288","http://www.gdlandscapeu.ae","","2000","","","International Fish Farming Holding Co","United Arab Emirates","Architectural Services","","","","","7","","International Fish Farming Holding Co","Private","","",""
"Ghantout Transporting & General Contracting Establishment","122480700","Po Box 27557","Abu Dhabi","26413388","","","2000","","","","","Road and Bridge Construction","","","","","0","","","Private","","",""
"Insulco Emirates Establishment","123278626","Po Box 103","Abu Dhabi","25500025","","34557301","2000","","","","","Other Construction Services Not Elsewhere Classified","","","","","0","","","Private","","9408289.9",""
"Consolidated Contracting Engineering & Procurement Co.-Sal Offshore","123280606","Po Box 224","Abu Dhabi","26276500","","","2000","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Abu Dhabi Company For Onshore Oil Operations (Adco)","123730294","Po Box 270","Abu Dhabi","26040000","","","1900","","","Abu Dhabi National Oil Company","United Arab Emirates","Petroleum Exploration","","","","","25","","ADNOC Distribution","Private","","",""
"Mohammed Bin Masaood and Sons","42385977","PO Box 322","Abu Dhabi","971-02 6722300","http://www.masaood.com","1038000000","1900","","1944","","","Engineering Design and Engineering Consulting Services","","","","","4","2009-12-31T05:00:00Z","","Partnership","","1038000000",""
"Keo International Consulants - Abu Dhabi","123262648","Po Box 27594","Abu Dhabi","24173000","","","1900","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"National Corp. for Tourism and Hotels","44600284","Airport Road,","Abu Dhabi","971-2-4099999","http://www.ncth.com","781336910","1845","","1996","","","Accommodation","","","342383640","","2","2014-12-31T05:00:00Z","","Public","20.3147","212721850","9031700.1"
"Massar Solutions PJSC","140114203","7th Floor Tower 2","Abu Dhabi","971-2-5075000","http://massarsolutions.ae","478810000","1813","","1998","","","Passenger Car Rental and Hiring","","80039000","272846010","21790882.624","0","2013-12-31T05:00:00Z","","Private","27.0203","130359560","-1946900"
"Ranya General Construction","122940150","Khalifa Street","Abu Dhabi","26773063","","","1800","","","","","Other Residential Building Construction","","","","","0","","","Private","","",""
"Abu Dhabi Oil Refining Company","48261561","","Abu Dhabi","971-26027001","http://www.takreer.com","5489799800","1800","","1999","Abu Dhabi National Oil Company","United Arab Emirates","Petroleum Refining and Petroleum Fuel Manufacturing","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","5489799800",""
"Abu Dhabi Municipality","123158228","Po Box 263","Abu Dhabi","26788888","http://adm.gov.ae","","1800","","","Government Of Abu Dhabi","","Regulatory Services","","","","","29","","Government Of Abu Dhabi","Private","","",""
"Abu Dhabi Polymers Co. Ltd","48960728","Borouge Tower, Shaikh Khalifa Energy Complex Corniche Road","Abu Dhabi","971-2-6070300","http://www.borouge.com","671900020","1700","","1998","Abu Dhabi National Oil Company","United Arab Emirates","Synthetic Resin and Synthetic Rubber Manufacturing","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","671900020",""
"Al Dhafra Irigation Systems - L L C","123217429","Po Box 127519","Abu Dhabi","26428812","","","1600","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"Etihad Airport Services - Catering L.L.C.","123158209","Airline Catering Building Abu Dhabi International Airport","Abu Dhabi","25757428","","","1600","","","Etihad Airways PJSC","United Arab Emirates","Cafes, Restaurants and Takeaway Food Services","","","","","12","","Etihad Airways PJSC","Private","","",""
"Abu Dhabi Airport Services","42385714","PO Box 94449","Abu Dhabi","971-02 5757032","http://www.adac.ae","853299990","1520","","1976","Etihad Airways PJSC","United Arab Emirates","Airport Operations and Other Air Transport Support Services","","","","","12","2010-12-31T05:00:00Z","Etihad Airways PJSC","State-Owned","","853299990",""
"Abu Dhabi Marine Operating Company","42385731","","Abu Dhabi","971-26060000","http://www.abudhabimargroup.com","4313700200","1504","","1977","Abu Dhabi National Oil Company","United Arab Emirates","Oil and Gas Extraction","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","4313700200",""
"New Marketing & Trading Co Llc","122896036","Po Box 6222","Abu Dhabi","26734300","","","1500","","","","","General Line Grocery Wholesaling","","","","","0","","","Private","","",""
"Clientsoft Technology L L C","121848231","Po Box 41777","Abu Dhabi","6216868","","","1500","","","Bin Zayed Group","United Arab Emirates","Computer System Design and Related Services","","","","","11","","Bin Zayed Contracting","Private","","",""
"Technip France","92461395","Po Box 7657","Abu Dhabi","26116000","http://www.technip.com","","1500","","","Technip","France","Engineering Design and Engineering Consulting Services","","","","","129","","Technip","Private","","",""
"UAE Exchange Centre LLC","121745515","","Abu Dhabi","971-43537378","http://www.uaeexchange.com","","1500","","","NMC Group","United Arab Emirates","Financial Asset Investing","","","","","22","","NMC Group","Private","","",""
"Hadeed Emirates Contracting (L.L.C)","122874190","Salam Street Behind Salam Hospital","Abu Dhabi","26713416","","","1500","","","","","Other Residential Building Construction","","","","","0","","","Private","","",""
"Mousa Industrial Company (Minco)","122044252","Po Box 47190","Abu Dhabi","26664227","","","1500","","","","","Other Fabricated Metal Product Manufacturing Not Elsewhere Classified","","","","","0","","","Partnership","","",""
"Al Falah Readymix Factory Llc","123280589","Po Box 35090","Abu Dhabi","25511006","","","1500","","","","","Ready-Mixed Concrete Manufacturing","","","","","0","","","Private","","",""
"Transco Abu Dhabi Transmission & Despatch Company","133363770","Po Box 173","Abu Dhabi","26414000","","","1500","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"National Health Insurance Company - Daman - Pjsc","123284547","Po Box 128888","Abu Dhabi","26149555","","","1500","","","","","Health Insurance","","","","","0","","","Private","","",""
"National Food Products Company Milco WLL","95527444","PO Box 2403","Abu Dhabi","971-2-5582808","http://www.milcodairy.com","2291200000","1500","","","Bin Hamoodah Company L.L.C.","United Arab Emirates","Milk and Cream Processing","","","","","9","2011-12-31T05:00:00Z","Bin Hamoodah Company L.L.C.","Private","","2291200000",""
"ADMAK General Contracting Company W.L.L.","42385749","","Abu Dhabi","971-2-6264626","http://www.makahara.net","951799990","1500","","","Mohammed Abdulmohsin Al Kharafi&Sons Co","Kuwait","Other Construction Services Not Elsewhere Classified","","","","","42","2011-12-31T05:00:00Z","Mohammed Abdulmohsin Al Kharafi&Sons Co","Private","","951799990",""
