Company Name,Key ID,Address Line 1,City,Phone,URL,Revenue (As Reported),Employees,Match Status,CRM Company Name,CRM Group ID,CRM Company ID
Porcellan Company Llc,122048026,Po Box 74684,Abu Dhabi,26576418,,,4000.0,not matched=0,,,
National Ready Mix Concrete Co.,43762999,PO Box 568,Abu Dhabi,971-02 6323227,http://www.lootahgroup.com,28131199000.0,4000.0,high=75,TransGulf Ready Mix Concrete Company,219219,27840
Code Contracting Company - L Lc,121848623,Po Box 25224,Abu Dhabi,24464616,,,4000.0,not matched=0,,,
Gibca Trading & Contracting Company - W L L,123229938,Po Box 2570,Abu Dhabi,26260222,,,4000.0,not matched=0,,,
Belhasa Six Construct Company Llc,121848029,Po Box 226,Abu Dhabi,6715400,,,4000.0,low=66,Gusan Construction company ltd.,1489087,3455136
International Mechanical & Electrical Company W L L,123229952,Po Box 46527,Abu Dhabi,26444700,,,4000.0,low=68,IMECO (International Mechanical And Electrical Company )/ Al Shirah recruitment services,242870,30506
NMC Group,120011440,Street 5 Warehouse 120,Abu Dhabi,971-26734300,http://www.nmc.ae,,4000.0,low=24,Bite Rite (part of NMC Specialty Hospital),1396547,3395882
Al Noor Hospitals Group PLC,122895558,Mussafah,Abu Dhabi,,http://www.alnoorhospital.com/,449056000.0,3922.0,medium=74,Al Noor Hospital,1031895,54353
International Management and Construction Corp.,50835924,PO Box 2739,Abu Dhabi,971-02 5553395,http://www.imcc.ae,2056899900.0,3700.0,low=63,Garnet Management Consulting LLC,1746202,3514977
MAPCO L.L.C.,42385970,PO Box 2035,Abu Dhabi,971-02 6783626,http://www.mapcouae.com,1912200000.0,3500.0,high=78,MAPCO L L C,631149,234585
National Drilling Co.,133360913,Po Box 4017,Abu Dhabi,971-02 6776100,http://www.ndc.ae,9448500000.0,3500.0,low=42,ESNAAD (Abu Dhabi Drilling Chemicals and Products),649750,60091
Abu Dhabi Gas Industries Limited,42385726,,Abu Dhabi,971-26030000,http://www.gasco.ae,4948799800.0,3500.0,high=82,Abu Dhabi Gas Industries Ltd (Gasco),1644260,23841
Gulf Piping Co Wll,133363574,Po Box 2739,Abu Dhabi,25553395,,,3500.0,high=76,Gulf Piping Company,151665,27174
Al Nabooda Contracting Company - L L C,123109587,Po Box 52224,Abu Dhabi,25506550,,,3000.0,not matched=0,,,
Punj Lloyd Ltd,122786515,P.O. Box 28907,Abu Dhabi,26261604,,,3000.0,low=44,LLoyd and Co.,1510046,3466450
Spark Development & Trading,121882883,Po Box 26061,Abu Dhabi,26777522,,,3000.0,low=65,Dhafir Development and contracting LLC,346452,30617
Aecom Middle East Limited. - Abu Dhabi,120029806,Po Box 43266,Abu Dhabi,26134000,http://www.aecom.com,,3000.0,not matched=0,,,
Armed Forces Officer Club Hotel,122044210,Po Box 29810,Abu Dhabi,24415900,http://www.afoc.mil.ae,,3000.0,low=39,Al Ain Sports and Cultural Club,971392,3035363
Abu Dhabi Aircraft Technologies PJSC,42385905,Abu Dhabi Aircraft Technologies Building,Abu Dhabi,971-2-5757555,http://www.adat.ae,4041000000.0,3000.0,low=52,"Abu Dhabi Aircraft Technologies, ADAT (previously Gulf Aircraft Maintenance Company - GAMCO)",1366452,31684
Middle East Energy & Industrial Services Company - L L C,123217428,Po Box 519,Abu Dhabi,26442600,,,2800.0,low=53,Folcra Beach Industrial Company,261470,80422
Abu Dhabi Aircraft Technologies,123283175,Po Box 46450,Abu Dhabi,25757555,,,2800.0,low=50,"Abu Dhabi Aircraft Technologies, ADAT (previously Gulf Aircraft Maintenance Company - GAMCO)",1366452,31684
Freyssinet Middle East - L L C,123249653,Po Box 28752,Abu Dhabi,26422962,,,2700.0,not matched=0,,,
National Bank of Abu Dhabi,42386005,One National Bank of Abu Dhabi Tower,Abu Dhabi,971-2-6111352,http://www.nbad.com,11185451000.0,2544.0,high=100,National Bank of Abu Dhabi,1706060,27818
Emirates Technical Thermal Systems Company - L L C,122981040,Po Box 43155,Abu Dhabi,6678080,,21200001.0,2500.0,medium=73,ETTS (Emirates Technical & Thermal Systems),1137452,3034543
Abu Dhabi Supplies & Commercial Services Establishment.,122985882,Po Box 768,Abu Dhabi,26767400,,,2500.0,high=78,(GULF) Abu Dhabi Supplies & Commercial Services,61600,26667
Tekfen Construction And Installation Company,122044354,Po Box 52237,Abu Dhabi,25591301,,,2500.0,low=49,Al Weqaya Fire Fighting Equipment Installation LLC,1673417,3502933
Al Jaber Signs L.L.C.,124754244,M 20 Plot No 5 12 & 23,Abu Dhabi,971-25553707,http://www.aljaber.com,,2500.0,low=67,Al Jaber Group LLC,21232,89867
Abu Dhabi National Oil Company for Distribution,42385737,PO Box 4188,Abu Dhabi,971-02 6771300,http://www.adnoc-dist.ae,34770602000.0,2500.0,low=64,Abu Dhabi Company for Onshore Oil Operations,11279,26680
Voltas Limited,107976552,Po Box 25513,Abu Dhabi,26504511,http://www.voltas.com,,2450.0,not matched=0,,,
NMC Opticals,124754433,,Abu Dhabi,971-26332255,http://www.nmc.com,,2400.0,low=35,NMC Speciality Hospital / NMC Medical Trading,1544076,1272488
Gulf Contractors Company L.L.C.,42385907,PO Box 45363,Abu Dhabi,971-02 6267510,http://www.gcc.ae,6847899900.0,2400.0,high=87,Gulf Contractors Company,80302,27057
Abu Dhabi Marine Operating Company,123730292,Po Box 303,Abu Dhabi,26060000,,,2346.0,high=85,Abu Dhabi Marine Operating Company (ADMA OPCO),352797,29649
Arabian Construction Company SAL - Abu Dhabi,42385779,PO Box 2113,Abu Dhabi,971-02 6771225,http://www.accsal.com,1276800000.0,2300.0,low=62,Arabian Unigaz Abu Dhabi,1747810,3515694
Kelvin Catering Services (Emirates) Llc,122874181,Po Box 3210,Abu Dhabi,26734780,,,2300.0,high=95,Kelvin Catering Services (Emirates) LLC,1518624,227305
Pal Group Of Companies L L C,122940735,Po Box 34036,Abu Dhabi,28155555,,,2300.0,high=85,PAL Group of Companies LLC,1385948,1250487
Worley Parsons Engineering Pty Limited - Abu Dhabi,121850876,Po Box 44169,Abu Dhabi,26766439,,,2200.0,high=81,Worley Parsons Engineering Pty Ltd,339702,63340
Control and Applications Group,120010491,Po Box 3687,Abu Dhabi,971-2-6767-965,http://www.cagroup.ae,,2173.0,low=66,Control & Applications Technology Solutions,1304698,32365
Abu Dhabi Media Company PJSC,104146714,P.O.Box 63,Abu Dhabi,971-2-4144000,http://www.admedia.ae,5260500000.0,2098.0,high=79,ADMC (Abu Dhabi Media Company),1521159,52880
Abu Dhabi Media Company Pjsc,133363581,Po Box 63,Abu Dhabi,4144001,,,2000.0,high=79,ADMC (Abu Dhabi Media Company),1521159,52880
Western Bainoona Group For General Contracting - Llc,122190613,Po Box 44252,Abu Dhabi,25513222,,,2000.0,low=60,Western Bainoona Group (WBG),327585,30887
S N C Lavalin International,122873344,Po Box 54130,Abu Dhabi,26445561,,,2000.0,low=58,SNC Lavalin,308583,27684
Abu Dhabi Judicial Department,123278882,P.O. Box 84,Abu Dhabi,26512222,http://www.adjd.gov.ae,,2000.0,high=100,Abu Dhabi Judicial Department,954146,549194
Emirates Telecommunication Corp Ltd,51373208,PO Box 3838,Abu Dhabi,971-2-6283333,http://www.etisalat.ae,48766875000.0,2000.0,high=78,Emirates Telecommunications Corporation - Etisalat,389949,27747
Alsa Engineering & Construction Company Llc,122190616,Po Box 54294,Abu Dhabi,26581551,,,2000.0,low=47,Alsa Apollo Kitchens International,1742949,3391447
Automatic System Corporation,92460731,Po Box 5297,Abu Dhabi,25511111,http://www.ascorpuae.com,,2000.0,low=56,Abu Dhabi Systems Integration (ADSI),1026344,224332
Emirates Holdings Co.,42385864,PO Box 984,Abu Dhabi,971-02 6447373,http://www.emiratesholdings.com,1110100000.0,2000.0,high=89,Emirates Holdings,186764,27704
Ghantoot Transport & General Contracting L.L.C.,122459681,Po Box 27557,Abu Dhabi,26413388,,,2000.0,medium=72,Al Rafeh Transport and General Contracting Est.,343597,63943
Emirates Aluminum Company Limited P J S,122895537,Po Box 111023,Abu Dhabi,25092222,,,2000.0,low=62,Emirates Insurance Company P.S.C,980350,3035713
Abu Dhabi - Flight Catering Company - L L C,122920946,Po Box 3167,Abu Dhabi,25757571,,,2000.0,medium=70,Abu Dhabi In-flight Catering,1385898,3394454
Agthia Group PJSC,51487650,PO Box 37725,Abu Dhabi,971-2-5960600,http://www.agthia.com,1655067000.0,2000.0,low=42,Al Agthia Al Libnania,1497731,3460790
Bin Jabr Fire Fighting & Safety Equipment Co. - Llc,122895544,Po Box 46711,Abu Dhabi,26418284,,,2000.0,low=63,Emirates Fire Fighting Equipment Factory LLC,1507463,3453722
Thales Geosolutions Overseas,122873529,Po Box 8625,Abu Dhabi,25554817,,347850010.0,2000.0,low=46,MI Overseas,910390,2626410
Al Jaber Trading L L C,123253308,Po Box 2175,Abu Dhabi,5559559,,,2000.0,medium=70,Al Jaber Group LLC,21232,89867
Gulf Dunes Landscaping & Agricultural Services L.L.C.,136967197,,Abu Dhabi,971-2-6677288,http://www.gdlandscapeu.ae,,2000.0,high=86,Gulf Dunes Landscaping and Agricultural Services Company,478900,88941
Ghantout Transporting & General Contracting Establishment,122480700,Po Box 27557,Abu Dhabi,26413388,,,2000.0,low=45,Desert Man General Transporting,1500201,3459023
Insulco Emirates Establishment,123278626,Po Box 103,Abu Dhabi,25500025,,34557301.0,2000.0,low=62,Emirates Autism Center,1526767,3472564
Consolidated Contracting Engineering & Procurement Co.-Sal Offshore,123280606,Po Box 224,Abu Dhabi,26276500,,,2000.0,low=53,CCC - Consolidated Contractors Co.,261580,53435
Abu Dhabi Company For Onshore Oil Operations (Adco),123730294,Po Box 270,Abu Dhabi,26040000,,,1900.0,high=91,Abu Dhabi Company for Onshore Oil Operations,11279,26680
Mohammed Bin Masaood and Sons,42385977,PO Box 322,Abu Dhabi,971-02 6722300,http://www.masaood.com,1038000000.0,1900.0,medium=74,Mohammed Kharafi and Sons,972292,1309909
Keo International Consulants - Abu Dhabi,123262648,Po Box 27594,Abu Dhabi,24173000,,,1900.0,high=75,KEO International Consultants,1485130,29473
National Corp. for Tourism and Hotels,44600284,"Airport Road,",Abu Dhabi,971-2-4099999,http://www.ncth.com,781336910.0,1845.0,high=80,National Corporation for Tourism & Hotels NCTH,1002492,32609
Massar Solutions PJSC,140114203,7th Floor Tower 2,Abu Dhabi,971-2-5075000,http://massarsolutions.ae,478810000.0,1813.0,low=63,ACE Solutions BPO,1568817,3483149
Ranya General Construction,122940150,Khalifa Street,Abu Dhabi,26773063,,,1800.0,high=88,Ranya General Construction CO LLC,92804,23783
Abu Dhabi Oil Refining Company,48261561,,Abu Dhabi,971-26027001,http://www.takreer.com,5489799800.0,1800.0,low=69,Abu Dhabi Vegetable Oil Company,336049,66121
Abu Dhabi Municipality,123158228,Po Box 263,Abu Dhabi,26788888,http://adm.gov.ae,,1800.0,high=100,Abu Dhabi Municipality,972293,3038549
Abu Dhabi Polymers Co. Ltd,48960728,"Borouge Tower, Shaikh Khalifa Energy Complex Corniche Road",Abu Dhabi,971-2-6070300,http://www.borouge.com,671900020.0,1700.0,high=84,Abu Dhabi Polymers Co. Ltd (Borouge),573650,28324
Al Dhafra Irigation Systems - L L C,123217429,Po Box 127519,Abu Dhabi,26428812,,,1600.0,low=67,Intuitive Systems - L L C,943390,551524
Etihad Airport Services - Catering L.L.C.,123158209,Airline Catering Building Abu Dhabi International Airport,Abu Dhabi,25757428,,,1600.0,low=56,Baguette Catering L.L.C,1479766,3449243
Abu Dhabi Airport Services,42385714,PO Box 94449,Abu Dhabi,971-02 5757032,http://www.adac.ae,853299990.0,1520.0,low=62,Abu Dhabi Airport Company (ADAC),1673068,87387
Abu Dhabi Marine Operating Company,42385731,,Abu Dhabi,971-26060000,http://www.abudhabimargroup.com,4313700200.0,1504.0,high=85,Abu Dhabi Marine Operating Company (ADMA OPCO),352797,29649
New Marketing & Trading Co Llc,122896036,Po Box 6222,Abu Dhabi,26734300,,,1500.0,low=52,Kenzi Marketing SXolution House,311686,86267
Clientsoft Technology L L C,121848231,Po Box 41777,Abu Dhabi,6216868,,,1500.0,medium=72,Concrete Technology LLC,1708311,62862
Technip France,92461395,Po Box 7657,Abu Dhabi,26116000,http://www.technip.com,,1500.0,low=67,Technip,53997,26561
UAE Exchange Centre LLC,121745515,,Abu Dhabi,971-43537378,http://www.uaeexchange.com,,1500.0,low=54,Epta UAE Technical Services L.L.C,1575440,3484741
Hadeed Emirates Contracting (L.L.C),122874190,Salam Street Behind Salam Hospital,Abu Dhabi,26713416,,,1500.0,high=94,Hadeed Emirates Contracting LLC,1524364,29489
Mousa Industrial Company (Minco),122044252,Po Box 47190,Abu Dhabi,26664227,,,1500.0,high=78,Mousa Industrial Co (MINCO),132664,80792
Al Falah Readymix Factory Llc,123280589,Po Box 35090,Abu Dhabi,25511006,,,1500.0,low=51,Al Falahi General Services,358347,93384
Transco Abu Dhabi Transmission & Despatch Company,133363770,Po Box 173,Abu Dhabi,26414000,,,1500.0,medium=74,Abu Dhabi Transmission & Despatch Co. ( TRANSCO),49997,27104
National Health Insurance Company - Daman - Pjsc,123284547,Po Box 128888,Abu Dhabi,26149555,,,1500.0,high=76,Daman National Health Insurance Company,310588,81473
National Food Products Company Milco WLL,95527444,PO Box 2403,Abu Dhabi,971-2-5582808,http://www.milcodairy.com,2291200000.0,1500.0,low=51,Tablez Food Company,1511793,3467474
ADMAK General Contracting Company W.L.L.,42385749,,Abu Dhabi,971-2-6264626,http://www.makahara.net,951799990.0,1500.0,low=63,Pivot Engineering & General Contracting Co WLL,1442347,29598
National Marine Dredging PSC,42386017,"Mussafah Industrial Area,",Abu Dhabi,971-2-5130000,http://www.nmdc.com,1629204000.0,1487.0,high=87,National Marine Dredging Company,1597139,31464
First Gulf Bank PJSC,42385885,PO Box 6316,Abu Dhabi,971-2-6816666,http://www.fgb.ae,9261826200.0,1454.0,high=100,First Gulf Bank PJSC,488,27148
Abu Dhabi Company for Onshore Oil Operat,42385719,Abu Dhabi Co fr Onshr Oil Oprtns Bldg,Abu Dhabi,971-2-6040000,http://www.adco.ae,8684700200.0,1450.0,high=95,Abu Dhabi Company for Onshore Oil Operations,11279,26680
National Catering Company Llc,123058796,Shiekh Mohammed Bin Butti Al Hamed Building Khalidiyah,Abu Dhabi,26345151,,,1400.0,low=51,Al Bandar Catering,1468010,3432131
Al Habtoor Specon Hastie International Jv (Hsh),123098476,Po Box Procurrement Manager,Abu Dhabi,566037922,,,1400.0,not matched=0,,,
Almansoori Specialized Engineering,42385969,PO Box 3374,Abu Dhabi,97128157000,http://www.almansoori.biz,756000000.0,1400.0,high=96,Al Mansoori Specialized Engineering,1530156,54327
Tristar Transport & Contractng,122047946,Po Box 918,Mussafah,25553437,,120000000.0,1400.0,high=92,Tristar Transport and Contracting,1588345,29525
Emirates Technical Associates L.L.C.,122874207,Po Box 3532,Abu Dhabi,26937222,,,1399.0,low=65,Emirates Float Glass L.L.C,644450,535577
Abu Dhabi Commercial Bank PJSC,42385720,PO Box 939,Abu Dhabi,971-2-6962297,http://www.adcb.com,7855222200.0,1366.0,high=90,Abu Dhabi Commercial Bank ADCB,246670,31488
Petroleum Services Company - Esnaad - P J S,122373484,Po Box 46121,Abu Dhabi,26029000,,,1355.0,low=28,ESNAAD (Abu Dhabi Drilling Chemicals and Products),649750,60091
Larsen & Toubro Limited - Ecc Construction Group - Abu Dhabi,123167912,Po Box 30803,Abu Dhabi,26729136,,,1300.0,low=52,Larsen and Toubro Limited,957296,3031841
Nael Energy & General Enterprises Establishment - Abu Dhabi Branch,122143897,Po Box 2045,Abu Dhabi,26776757,,,1300.0,low=54,Al Sultan Engineering Consultancy Bureau - Abu Dhabi Branch,881446,58075
Readymix Beton Establishment,42386052,Po Box 3610,Abu Dhabi,26337580,http://www.readymixbeton.com,,1300.0,low=36,Ghantoot Group - Bin Mehran Readymix Concrete,1527062,93310
Al Fahim,42385881,Al Fahim Group Building,Abu Dhabi,971-2-6567000,http://www.alfahim.com/,,1300.0,medium=73,Al Fahim Group,11187,29570
Abu Dhabi Islamic Bank PJSC,43871889,Abu Dhabi Islamic Bank Building,Abu Dhabi,971-2-6100000,http://www.adib.ae,4632240200.0,1228.0,high=90,Abu Dhabi Islamic Bank,1489939,90771
Parsons International Limited,92460815,Po Box 5498,Abu Dhabi,26142416,http://www.parsons.com,,1215.0,low=58,Parsons Corporation,134315,28501
Royal Garden Agricultural Contracting Company,123228862,Opposite Star Cement Factory,Abu Dhabi,25500822,,,1213.0,low=57,Gulf Dunes Landscaping and Agricultural Services Company,478900,88941
Zakum Development Company,42386124,PO Box 46808,Abu Dhabi,+9712-6050000,http://zadco.ae/en/Pages/default.aspx,5776200200.0,1200.0,low=63,Zadco Zakum Development Company / شركة تطوير حقل زاكوم,1545852,27639
Bin Salem Group - L L C,133363592,Po Box 7969,Abu Dhabi,24122222,,,1200.0,medium=70,Bin Salmeen Group,1484068,3450645
Hyundai Engineering & Construction Company,120010398,Po Box 46101,Abu Dhabi,26432865,http://www.en.hdec.kr,,1200.0,low=56,hyundai engineering,1417597,1295858
Siemens LLC,46490318,PO Box 47015,Abu Dhabi,971-26165100,http://w1.siemens.com,769200010.0,1200.0,high=78,Siemens,394849,3121740
The Kanoo Group,42385951,Po Box 245,Abu Dhabi,971-2-677-4444,http://www.kanoogroup.com,,1200.0,not matched=0,,,
Danway Abu Dhabi,42385849,Near Neopharma,Abu Dhabi,971-2-5994444,http://www.danwayllc.com,347500000.0,1200.0,not matched=0,,,
Agencies & Trading Company,121842832,Po Box 27599,Abu Dhabi,26948384,,,1200.0,low=44,Medik Trading Agencies Estb.,23,89530
Dhabia Trading Establishment,121843546,Po Box 4875/4192,Abu Dhabi,6904555,,,1200.0,low=46,Dhabian security Consultancy services,10279,27627
Electrical Centre,122153217,Po Box 4037,Abu Dhabi,26722400,,,1200.0,low=68,MAM Electrical Cont. Est,1488685,3457927
Southern Franchise Company (L.L.C),121851586,Po Box 44145,Abu Dhabi,42868878,,,1200.0,high=79,SFC Group / Southern Franchise Company LLC,1525492,31582
Dodsal Engineering And Construction Pte. Limited - Abu Dhabi,123167645,Po Box 701,Abu Dhabi,24093812,,,1193.0,not matched=0,,,
Engineering Maintenance Co.mpany EMCO,42385873,PO Box 3532,Abu Dhabi,971-02 6340600,http://emcouae.com,734099980.0,1150.0,low=63,Emmet Machining and Maintenance Co. LLC,1741161,3512380
Abu Dhabi National Energy Company PJSC,50779454,Al Maryah Island,Abu Dhabi,971-2-6914900,http://www.taqaglobal.com,27325000000.0,1119.0,medium=70,Abu Dhabi National Energy - ADNE - Taqa,894842,612373
Galfar Engineering & Contracting -W L L- Uae,123282638,Po Box 72218,Abu Dhabi,25502515,,258000000.0,1100.0,low=46,Guthrie UAE Engineering L.L.C.,1240350,3381033
Ali and Sons Contracting Company L.L.C.,42387135,PO Box 2153,Abu Dhabi,971-02 5546611,http://asc.ali-sons.com,,1100.0,low=59,Ali and Sons Interiors,351402,91726
A B J Industries P J S C,122044422,Po Box 26831,,25130522,,,1100.0,low=65,RAF OIL Industries LLC,1685553,3509662
Aldar Properties PJSC,92498670,"Al Raha Beach,  51133",Abu Dhabi,971-2-8105555,http://www.aldar.com,6551078100.0,1062.0,low=47,AlDar Copy Bureau,1537170,3476385
Xervon Industrial Services L.L.C.,123046236,Po Box 47616,Abu Dhabi,5587159,,,1060.0,low=65,Al Nasser Industrial Ent. L.L.C.,792251,563654
Saaed For Traffic Systems - L L C,121849462,Po Box 113966,Abu Dhabi,25563333,,,1027.0,low=63,Alliance Traffic Systems,1674020,3502635
Abu Dhabi General Transport Co.,42708422,PO Box 493,Abu Dhabi,971-02 5555700,,2855800000.0,1000.0,low=69,Al Asab General Transport and Contracting,1171249,3336197
ESNAAD,42385722,,Abu Dhabi,971-26029000,http://www.esnaad.com,429500000.0,1000.0,low=21,ESNAAD (Abu Dhabi Drilling Chemicals and Products),649750,60091
China Petroleum Engineering & Construction Corporation-Abu Dhabi,123262652,Po Box 127345,Abu Dhabi,26789991,,,1000.0,high=87,China Petroleum Engineering & Construction Corporation (CPECC),1342610,3375374
Seidco General Contracting Company - L L C - Abu Dhabi,123158203,Po Box 44072,Abu Dhabi,26766635,http://www.seidco.net,,1000.0,medium=71,Seidco General Contracting LLC,1518618,23894
NMC Special Medical Services,124754328,,Abu Dhabi,971-26332255,,,1000.0,high=76,The Health Medical Services,1519766,3470077
Combined Group Contracting Co (K.S.Cc) - Alain,122940152,Po Box 112364,Abu Dhabi,26121999,,,1000.0,high=78,Combined Group Contracting Company,1537165,3476188
